date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered
2020-03-12,BL,4461,47.4661,7.83246,0,0,0,0,1
2020-03-12,GR,7424,46.7465,9.39824,0,1,0,1,0
2020-03-12,FR,1742,46.7373,7.02656,0,1,0,1,0
2020-03-12,VS,1982,46.1615,7.41429,1,0,0,0,0
2020-03-12,SO,4655,47.3939,7.9683,0,0,1,0,0
2020-03-12,SG,7323,47.0337,9.43017,0,0,0,1,0
2020-03-12,LU,6248,47.1475,7.99576,0,0,0,0,2
2020-03-12,JU,2353,47.2736,6.98622,0,0,0,0,1
2020-03-12,NE,2105,46.9487,6.67786,1,1,1,0,0
2020-03-12,BE,3757,46.5634,7.48214,0,0,1,0,0
2020-03-12,BE,3415,47.017,7.66627,0,1,0,0,0
2020-03-12,LU,6142,47.1386,7.96672,1,0,0,0,0
2020-03-12,FR,1609,46.583,6.8814,0,0,0,0,1
2020-03-12,BE,3764,46.6387,7.47599,2,1,0,0,0
2020-03-12,BE,4952,47.0718,7.85771,0,1,0,0,1
2020-03-12,GL,8777,46.9301,9.04978,0,0,2,0,0
2020-03-12,ZH,8600,47.3905,8.61731,0,0,0,0,3
2020-03-12,AR,9105,47.3207,9.23208,0,0,2,0,0
2020-03-12,ZH,8162,47.4977,8.44342,0,1,0,1,0
2020-03-12,VS,3932,46.243,7.94014,0,0,0,0,1
2020-03-12,TI,6915,45.9883,8.93369,1,0,0,0,0
2020-03-12,LU,6234,47.2386,8.0803,1,1,0,1,0
2020-03-12,BE,6086,46.7327,8.20955,0,1,0,0,0
2020-03-12,ZH,8428,47.5494,8.56605,0,1,0,0,0
2020-03-12,GE,1258,46.156,6.08467,0,0,1,0,0
2020-03-12,BE,3380,47.2311,7.6502,0,1,0,0,0
2020-03-12,AG,5223,47.494,8.18679,0,0,1,0,2
2020-03-12,AG,5621,47.3441,8.35583,0,0,2,0,0
2020-03-12,TG,8503,47.558,8.89656,0,0,0,0,1
2020-03-12,BE,1657,46.5652,7.3074,0,0,0,1,1
2020-03-12,ZH,8707,47.2703,8.68181,1,0,0,0,0
2020-03-12,SG,9401,47.4756,9.49538,0,0,1,0,0
2020-03-12,BL,4104,47.5131,7.54807,0,0,0,1,0
2020-03-12,GR,6540,46.2577,9.12905,0,0,0,0,1
2020-03-12,GR,7000,46.8521,9.53014,1,1,0,0,0
2020-03-12,BS,4008,47.5577,7.59366,0,0,1,0,0
2020-03-12,BE,2746,47.2854,7.45199,0,0,0,1,0
2020-03-12,FR,1643,46.6773,7.07685,1,0,0,0,0
2020-03-12,ZH,8402,47.4968,8.73431,0,1,0,0,1
2020-03-12,SG,9114,47.3624,9.17503,0,0,0,1,1
2020-03-12,VD,1804,46.4944,6.871,0,0,1,0,0
