date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered
2020-03-14,VS,1926,46.1575,7.11174,0,1,0,0,0
2020-03-14,VD,1307,46.3468,7.16329,0,0,0,1,0
2020-03-14,AG,5276,47.5659,8.15486,0,0,1,0,1
2020-03-14,NE,2116,46.8778,6.51008,1,0,0,0,1
2020-03-14,NE,2127,47.5409,8.5779,0,0,0,1,0
2020-03-14,JU,2908,47.3915,6.93364,0,1,0,0,0
2020-03-14,LU,6033,47.1017,8.34796,0,0,1,0,0
2020-03-14,SO,4710,47.3144,7.70038,1,0,0,3,0
2020-03-14,GL,8777,46.9301,9.04978,0,1,1,0,1
2020-03-14,AG,5606,47.3616,8.22188,0,0,1,0,1
2020-03-14,GE,1258,46.156,6.08467,0,0,0,1,0
2020-03-14,VD,1815,46.4409,6.8908,0,1,0,2,0
2020-03-14,FR,1667,46.5724,7.08357,1,1,0,1,0
2020-03-14,NE,2088,47.0505,7.02402,0,0,2,0,0
2020-03-14,ZH,8103,47.4098,8.4372,0,0,1,0,0
2020-03-14,BE,3645,46.7091,7.60993,0,0,1,0,0
2020-03-14,NE,2024,46.8999,6.7552,0,1,0,1,0
2020-03-14,GR,7023,46.8813,9.5084,0,1,1,0,0
2020-03-14,AG,4812,47.3032,7.98488,0,1,0,0,0
2020-03-14,AG,5642,47.2332,8.38804,0,0,0,2,0
2020-03-14,BE,3027,46.9476,7.40646,2,1,0,0,0
2020-03-14,ZH,8325,47.4378,8.69665,0,0,0,1,0
2020-03-14,VD,1607,46.5491,6.83525,0,1,0,0,1
2020-03-14,SH,8236,47.7528,8.64279,0,0,0,0,1
2020-03-14,NW,6362,46.9834,8.35649,1,0,0,0,0
2020-03-14,ZH,8090,47.3691,8.53801,0,1,0,0,0
2020-03-14,NE,2019,46.9863,6.80397,0,0,0,0,2
2020-03-14,BE,4917,47.1771,7.85618,0,0,1,0,0
2020-03-14,VS,3926,46.2168,7.81005,0,1,0,0,0
2020-03-14,TG,8537,47.6094,8.81775,1,1,0,2,0
2020-03-14,BE,3095,46.9209,7.42556,1,0,0,1,0
2020-03-14,GR,7415,46.7303,9.44576,2,0,0,0,1
2020-03-14,GR,7437,46.54,9.24122,0,0,1,0,1
2020-03-14,SG,9303,47.4673,9.38157,1,1,0,0,0
2020-03-14,SH,8235,47.7517,8.65688,0,1,0,1,1
2020-03-14,VS,3985,46.4921,8.27463,2,1,0,1,0
2020-03-14,BS,4057,47.5487,7.58768,0,0,2,2,0
2020-03-14,ZH,8164,47.5281,8.42938,2,0,0,0,1
2020-03-14,AG,5333,47.5547,8.31364,1,0,0,0,0
2020-03-14,AG,4317,47.4939,7.93123,0,1,1,0,0
2020-03-14,ZH,8623,47.33,8.81827,0,1,0,0,0
2020-03-14,SH,8455,47.5831,8.56834,0,0,0,0,1
2020-03-14,TG,9220,47.4956,9.21615,0,1,0,0,0
2020-03-14,VS,3998,46.4581,8.25219,0,1,0,0,0
2020-03-14,TI,6577,46.1089,8.78891,1,0,0,1,0
2020-03-14,ZH,8600,47.3905,8.61731,1,0,1,0,1
2020-03-14,GR,7551,46.8259,10.2292,1,0,1,0,0
2020-03-14,AR,9104,47.3571,9.28489,0,0,1,0,0
2020-03-14,AG,4305,47.5215,7.77884,0,1,0,0,0
2020-03-14,ZH,8800,47.2875,8.5592,0,0,2,0,0
2020-03-14,BE,2514,47.0891,7.14499,0,0,1,0,1
2020-03-14,GE,1283,46.1986,5.98868,1,1,0,0,0
2020-03-14,VD,1401,46.7831,6.65098,0,0,0,1,0
2020-03-14,SZ,6434,46.9938,8.73926,0,0,0,1,0
2020-03-14,TG,8266,47.6582,8.9908,1,0,0,1,1
2020-03-14,BL,4411,47.462,7.71568,1,0,1,0,0
2020-03-14,VD,1262,46.3815,6.20394,0,0,1,1,0
2020-03-14,TI,6658,46.167,8.60851,0,1,0,0,0
2020-03-14,LU,6011,47.0338,8.27921,0,1,0,0,1
2020-03-14,AG,5116,47.4258,8.165,0,0,0,0,1
2020-03-14,GR,7514,46.4288,9.76417,0,1,0,0,2
2020-03-14,GR,7175,46.7062,8.94389,0,2,0,0,0
2020-03-14,BE,3000,46.9476,7.40646,0,1,0,0,0
2020-03-14,SG,9467,47.2451,9.47348,0,0,1,0,1
2020-03-14,NE,2105,46.9487,6.67786,0,0,1,1,1
2020-03-14,BE,3048,46.9487,7.47421,0,1,0,0,1
2020-03-14,BS,4051,47.5577,7.59366,2,0,1,0,0
2020-03-14,BE,3030,46.948,7.44821,0,1,1,0,1
2020-03-14,GR,7414,46.7193,9.44858,0,0,0,1,1
2020-03-14,ZH,8021,47.3691,8.54099,1,1,0,0,2
2020-03-14,TI,6647,46.2071,8.83016,0,0,1,0,0
2020-03-14,ZH,8803,47.3043,8.54701,0,1,0,0,1
2020-03-14,BE,3233,47.0236,7.07666,0,0,1,0,0
2020-03-14,FR,1533,46.7849,6.88499,2,0,0,0,0
2020-03-14,LU,6000,47.0471,8.32522,2,0,0,0,0
2020-03-14,SZ,6452,46.9351,8.67594,1,0,1,1,0
2020-03-14,VD,1088,46.6132,6.75262,1,1,0,0,0
2020-03-14,SO,4703,47.2763,7.75332,0,0,1,0,0
2020-03-14,TG,8265,47.6419,8.91815,0,0,2,0,0
2020-03-14,LU,6163,47.0233,8.07846,0,0,1,1,0
2020-03-14,AG,5442,47.4375,8.29079,0,0,0,1,1
2020-03-14,FR,1752,46.7944,7.12514,0,1,1,0,0
2020-03-14,AR,9405,47.4648,9.54251,0,0,0,1,0
2020-03-14,GL,8783,46.8635,8.97928,1,0,0,0,0
2020-03-14,VD,1454,46.8417,6.48261,1,0,0,0,0
2020-03-14,GL,8767,46.9063,9.16119,0,0,0,0,1
2020-03-14,BE,3114,46.8453,7.57944,0,0,1,1,0
2020-03-14,ZH,8833,47.2034,8.68556,0,2,0,0,0
2020-03-14,LU,6211,47.2019,8.03691,0,0,1,0,0
2020-03-14,GR,7163,46.7492,9.04679,1,0,0,0,1
2020-03-14,ZG,6318,47.1085,8.53265,2,0,0,0,0
2020-03-14,BE,3317,47.1007,7.47607,0,0,0,1,0
2020-03-14,AG,5417,47.5067,8.25648,0,0,1,1,0
2020-03-14,BS,4095,47.5597,7.58053,1,0,0,2,0
2020-03-14,SG,9008,47.4221,9.37595,0,2,1,1,0
2020-03-14,VD,1062,46.6528,6.73843,0,0,1,0,0
2020-03-14,ZH,8636,47.2746,8.91427,1,2,0,0,0
2020-03-14,VD,1524,46.7607,6.90166,0,0,0,0,1
2020-03-14,ZH,8409,47.4968,8.73431,1,0,0,0,1
2020-03-14,TI,6593,46.1466,8.95014,0,1,0,2,0
2020-03-14,GR,7077,46.332,8.991,0,0,0,0,2
2020-03-14,SH,8205,47.6953,8.63156,0,0,1,0,1
2020-03-14,BL,4443,47.4285,7.83889,1,0,1,0,0
2020-03-14,TG,8525,47.5963,8.77927,1,0,1,0,0
2020-03-14,BE,3372,47.1942,7.69154,0,1,0,0,1
2020-03-14,VD,1407,46.7266,6.71463,0,1,0,0,2
2020-03-14,ZH,8428,47.5494,8.56605,0,0,1,0,0
2020-03-14,BE,3324,47.0417,7.54327,0,0,0,1,0
2020-03-14,VD,1416,46.7001,6.67557,0,1,0,0,0
2020-03-14,VD,1537,46.7571,6.78374,1,1,0,0,0
2020-03-14,JU,2922,47.4366,7.04556,0,1,0,0,0
2020-03-14,BE,3053,47.0182,7.44859,0,0,0,0,1
2020-03-14,ZH,8162,47.4977,8.44342,0,0,0,1,1
2020-03-14,SG,9025,47.1875,8.49726,0,0,0,0,2
2020-03-14,UR,6461,46.9065,8.52736,0,1,0,0,0
2020-03-14,TI,6854,45.8595,8.93808,0,0,1,1,0
2020-03-14,FR,1688,46.6363,6.90126,1,0,0,0,0
2020-03-14,VS,3908,46.1525,7.92847,0,0,1,1,0
2020-03-14,BE,2572,47.0841,7.21294,1,0,0,1,0
2020-03-14,BL,4461,47.4661,7.83246,0,0,0,1,0
2020-03-14,GE,1203,46.2058,6.14139,0,0,0,1,0
2020-03-14,ZH,8182,47.5284,8.50906,0,0,1,0,0
2020-03-14,TG,9506,47.519,8.99308,0,0,0,0,2
2020-03-14,GL,8874,47.0981,9.17473,0,0,0,0,1
2020-03-14,ZH,8424,47.5085,8.59763,0,1,0,0,0
2020-03-14,SG,9400,47.4756,9.49538,0,2,0,0,0
2020-03-14,SG,9473,47.2115,9.43065,0,0,0,1,0
2020-03-14,VS,1962,46.2247,7.30919,1,0,0,1,0
2020-03-14,GR,7427,46.6902,9.40179,0,0,1,1,1
2020-03-14,BE,3764,46.6387,7.47599,1,1,0,1,0
2020-03-14,AG,5301,47.5168,8.2355,1,0,0,0,1
2020-03-14,VS,1985,46.0983,7.51536,0,1,0,0,0
2020-03-14,TG,9555,47.5167,9.03333,0,1,0,0,2
2020-03-14,GR,7517,46.4203,9.72656,0,0,0,2,0
2020-03-14,GR,7155,46.8089,9.19271,0,1,0,0,1
2020-03-14,AG,5524,47.3779,8.28803,0,1,0,0,0
2020-03-14,FR,1468,46.8115,6.78565,0,0,2,0,0
2020-03-14,VD,1122,46.5562,6.50891,1,0,0,0,0
2020-03-14,FR,1485,46.7802,6.83071,1,0,1,0,0
2020-03-14,TI,6816,45.9519,8.97027,1,0,0,0,0
2020-03-14,TG,8589,47.5048,9.24867,1,0,0,0,0
2020-03-14,SH,8210,47.6975,8.63223,0,0,0,0,1
2020-03-14,BE,2560,47.1243,7.24087,0,0,1,0,0
2020-03-14,BE,2532,47.1417,7.21842,0,0,3,1,0
2020-03-14,TI,6653,46.1933,8.72802,0,1,0,0,0
2020-03-14,ZH,8465,47.6404,8.67333,1,0,0,0,0
2020-03-14,BE,2552,47.1418,7.30312,0,0,0,0,1
2020-03-14,VS,1927,46.0774,7.10281,0,1,0,0,0
2020-03-14,BE,2558,47.1171,7.28509,1,0,0,0,0
2020-03-14,VD,1682,46.6921,6.86483,1,2,0,0,0
2020-03-14,GR,7146,46.7066,9.15899,0,1,0,0,0
2020-03-14,GR,7113,46.7038,9.19804,2,0,0,0,1
2020-03-14,GR,7306,47.0382,9.53313,0,0,0,0,1
2020-03-14,SO,4614,47.3454,7.82453,1,1,1,0,0
2020-03-14,FL,9494,47.1481,9.56662,0,1,2,0,0
2020-03-14,SG,9436,47.4009,9.60855,1,0,0,1,0
2020-03-14,ZH,8165,47.5037,8.4192,0,0,0,1,0
2020-03-14,TI,6722,46.4467,8.93398,1,0,0,0,1
2020-03-14,AG,5201,47.4838,8.20725,0,0,1,0,0
2020-03-14,BS,4059,47.5487,7.58768,0,0,0,0,1
2020-03-14,GE,1236,46.1771,6.02879,1,1,0,0,1
2020-03-14,ZH,8118,47.3686,8.62702,0,0,0,1,0
2020-03-14,LU,6244,47.1915,7.98018,0,0,0,2,0
2020-03-14,AG,5077,47.5076,8.09701,0,0,1,0,1
2020-03-14,ZH,8181,47.5075,8.50254,2,0,0,0,0
2020-03-14,ZH,8825,47.1254,8.69063,0,0,0,1,1
2020-03-14,AG,5212,47.4599,8.16511,0,1,1,1,0
2020-03-14,SG,9230,47.4053,9.19802,0,0,0,1,0
2020-03-14,VD,1008,46.5389,6.60497,0,0,0,1,0
2020-03-14,BS,4033,47.5596,7.58061,1,2,0,1,0
2020-03-14,SG,8873,47.1602,9.16656,0,0,0,0,1
2020-03-14,LU,6247,47.1682,7.98726,0,0,1,0,0
2020-03-14,SO,3307,47.0854,7.46672,0,0,0,1,1
2020-03-14,FR,1626,46.6507,6.94199,0,0,0,0,1
2020-03-14,NE,2304,47.1102,6.83338,1,0,0,2,0
2020-03-14,VS,1993,46.1972,7.33798,1,0,0,0,0
2020-03-14,BE,3652,46.7403,7.65788,0,0,0,1,1
2020-03-14,SG,7312,46.9432,9.41307,0,0,1,0,0
2020-03-14,TI,6644,46.1833,8.7951,0,0,0,1,0
2020-03-14,TI,6873,45.8619,8.9947,0,0,0,0,1
2020-03-14,BE,3049,46.9918,7.33427,0,1,1,0,0
2020-03-14,AG,5726,47.3189,8.10356,1,1,0,0,0
2020-03-14,TG,8285,47.6348,9.14599,0,0,0,0,1
2020-03-14,TI,6830,45.8288,9.01654,1,0,0,0,0
2020-03-14,SZ,8857,47.1263,8.88947,0,0,0,2,1
2020-03-14,VD,1425,46.8482,6.67316,0,0,0,1,0
2020-03-14,SG,9034,47.4467,9.48275,0,0,1,0,0
2020-03-14,BE,3602,46.757,7.63019,0,0,0,1,0
2020-03-14,GR,7115,46.6977,9.17758,0,1,1,0,0
2020-03-14,BE,4900,47.2158,7.79456,2,0,1,0,0
2020-03-14,VD,1031,46.5729,6.54388,0,0,0,2,0
2020-03-14,BE,3147,46.8765,7.36851,0,0,0,1,0
2020-03-14,LU,6206,47.1034,8.2029,1,0,0,0,0
2020-03-14,VD,1846,46.349,6.89461,1,0,0,0,0
2020-03-14,JU,2857,47.3723,7.23643,0,0,1,2,0
2020-03-14,BE,3704,46.6512,7.73612,1,0,1,0,0
2020-03-14,AG,5236,47.5148,8.17616,1,0,0,0,1
2020-03-14,ZH,8909,47.2883,8.42913,0,0,1,0,0
2020-03-14,JU,2953,47.4089,7.19251,0,0,1,0,0
2020-03-14,ZH,8707,47.2703,8.68181,0,0,0,1,0
2020-03-14,VS,1874,46.1588,6.84583,1,0,0,1,0
2020-03-14,AG,5277,47.543,8.16184,0,0,0,1,0
2020-03-14,SG,9501,47.4555,9.05206,1,0,1,0,0
2020-03-14,ZH,8307,47.435,8.68229,0,0,1,0,0
2020-03-14,ZH,8079,47.3828,8.53081,0,0,0,1,0
2020-03-14,ZH,8450,47.5928,8.6756,0,1,0,0,0
2020-03-14,VD,1277,46.381,6.17905,0,0,1,0,0
